week,n,ma2,disaster_which
2013-11-03T00:00:00Z,22,22.5,NO NATURAL DISASTER
2013-11-10T00:00:00Z,28,25,NO NATURAL DISASTER
2013-11-17T00:00:00Z,20,24,NO NATURAL DISASTER
2013-11-24T00:00:00Z,29,24.5,NO NATURAL DISASTER
2013-12-01T00:00:00Z,23,26,NO NATURAL DISASTER
2013-12-08T00:00:00Z,25,24,NO NATURAL DISASTER
2013-12-15T00:00:00Z,22,23.5,NO NATURAL DISASTER
2013-12-22T00:00:00Z,24,23,NO NATURAL DISASTER
2013-12-29T00:00:00Z,29,26.5,NO NATURAL DISASTER
2014-01-05T00:00:00Z,17,23,NO NATURAL DISASTER
2014-01-12T00:00:00Z,28,22.5,NO NATURAL DISASTER
2014-01-19T00:00:00Z,29,28.5,NO NATURAL DISASTER
2014-01-26T00:00:00Z,26,27.5,NO NATURAL DISASTER
2014-02-02T00:00:00Z,24,25,NO NATURAL DISASTER
2014-02-09T00:00:00Z,30,27,NO NATURAL DISASTER
2014-02-16T00:00:00Z,33,31.5,NO NATURAL DISASTER
2014-02-23T00:00:00Z,21,27,NO NATURAL DISASTER
2014-03-02T00:00:00Z,33,27,NO NATURAL DISASTER
2014-03-09T00:00:00Z,36,34.5,NO NATURAL DISASTER
2014-03-16T00:00:00Z,29,32.5,NO NATURAL DISASTER
2014-03-23T00:00:00Z,27,28,NO NATURAL DISASTER
2014-03-30T00:00:00Z,29,28,NO NATURAL DISASTER
2014-04-06T00:00:00Z,31,30,NO NATURAL DISASTER
2014-04-13T00:00:00Z,37,34,NO NATURAL DISASTER
2014-04-20T00:00:00Z,40,38.5,NO NATURAL DISASTER
2014-04-27T00:00:00Z,40,40,NO NATURAL DISASTER
2014-05-04T00:00:00Z,37,38.5,NO NATURAL DISASTER
2014-05-11T00:00:00Z,26,31.5,NO NATURAL DISASTER
2014-05-18T00:00:00Z,37,31.5,NO NATURAL DISASTER
2014-05-25T00:00:00Z,39,38,NO NATURAL DISASTER
2014-06-01T00:00:00Z,33,36,NO NATURAL DISASTER
2014-06-08T00:00:00Z,34,33.5,NO NATURAL DISASTER
2014-06-15T00:00:00Z,32,33,NO NATURAL DISASTER
2014-06-22T00:00:00Z,42,37,NO NATURAL DISASTER
2014-06-29T00:00:00Z,35,38.5,NO NATURAL DISASTER
2014-07-06T00:00:00Z,42,38.5,NO NATURAL DISASTER
2014-07-13T00:00:00Z,43,42.5,NO NATURAL DISASTER
2014-07-20T00:00:00Z,36,39.5,NO NATURAL DISASTER
2014-07-27T00:00:00Z,42,39,NO NATURAL DISASTER
2014-08-03T00:00:00Z,27,34.5,NO NATURAL DISASTER
2014-08-10T00:00:00Z,29,28,NO NATURAL DISASTER
2014-08-17T00:00:00Z,27,28,NO NATURAL DISASTER
2014-08-24T00:00:00Z,26,26.5,NO NATURAL DISASTER
2014-08-31T00:00:00Z,25,25.5,NO NATURAL DISASTER
2014-09-07T00:00:00Z,25,25,NO NATURAL DISASTER
2014-09-14T00:00:00Z,30,27.5,NO NATURAL DISASTER
2014-09-21T00:00:00Z,30,30,NO NATURAL DISASTER
2014-09-28T00:00:00Z,27,28.5,NO NATURAL DISASTER
2014-10-05T00:00:00Z,42,34.5,NO NATURAL DISASTER
2014-10-12T00:00:00Z,31,36.5,NO NATURAL DISASTER
2014-10-19T00:00:00Z,30,30.5,NO NATURAL DISASTER
2014-10-26T00:00:00Z,35,32.5,NO NATURAL DISASTER
2014-11-02T00:00:00Z,31,33,NO NATURAL DISASTER
2014-11-09T00:00:00Z,20,25.5,NO NATURAL DISASTER
2014-11-16T00:00:00Z,20,20,NO NATURAL DISASTER
2014-11-23T00:00:00Z,25,22.5,NO NATURAL DISASTER
2014-11-30T00:00:00Z,38,31.5,NO NATURAL DISASTER
2014-12-07T00:00:00Z,38,38,NO NATURAL DISASTER
2014-12-14T00:00:00Z,37,37.5,NO NATURAL DISASTER
2014-12-21T00:00:00Z,53,45,NO NATURAL DISASTER
2014-12-28T00:00:00Z,28,40.5,NO NATURAL DISASTER
2015-01-04T00:00:00Z,22,25,NO NATURAL DISASTER
2015-01-11T00:00:00Z,33,27.5,NO NATURAL DISASTER
2015-01-18T00:00:00Z,20,26.5,NO NATURAL DISASTER
2015-01-25T00:00:00Z,23,21.5,NO NATURAL DISASTER
2015-02-01T00:00:00Z,25,24,NO NATURAL DISASTER
2015-02-08T00:00:00Z,44,34.5,NO NATURAL DISASTER
2015-02-15T00:00:00Z,34,39,NO NATURAL DISASTER
2015-02-22T00:00:00Z,18,26,NO NATURAL DISASTER
2015-03-01T00:00:00Z,30,24,NO NATURAL DISASTER
2015-03-08T00:00:00Z,25,27.5,NO NATURAL DISASTER
2015-03-15T00:00:00Z,30,27.5,NO NATURAL DISASTER
2015-03-22T00:00:00Z,35,32.5,NO NATURAL DISASTER
2015-03-29T00:00:00Z,44,39.5,NO NATURAL DISASTER
2015-04-05T00:00:00Z,39,41.5,NO NATURAL DISASTER
2015-04-12T00:00:00Z,42,40.5,NO NATURAL DISASTER
2015-04-19T00:00:00Z,45,43.5,NO NATURAL DISASTER
2015-04-26T00:00:00Z,35,40,NO NATURAL DISASTER
2015-05-03T00:00:00Z,36,35.5,NO NATURAL DISASTER
2015-05-10T00:00:00Z,37,36.5,NO NATURAL DISASTER
2015-05-17T00:00:00Z,38,37.5,NO NATURAL DISASTER
2015-05-24T00:00:00Z,36,37,NO NATURAL DISASTER
2015-05-31T00:00:00Z,37,36.5,NO NATURAL DISASTER
2015-06-07T00:00:00Z,35,36,NO NATURAL DISASTER
2015-06-14T00:00:00Z,49,42,NO NATURAL DISASTER
2015-06-21T00:00:00Z,31,40,NO NATURAL DISASTER
2015-06-28T00:00:00Z,33,32,NO NATURAL DISASTER
2015-07-05T00:00:00Z,44,38.5,NO NATURAL DISASTER
2015-07-12T00:00:00Z,40,42,NO NATURAL DISASTER
2015-07-19T00:00:00Z,41,40.5,NO NATURAL DISASTER
2015-07-26T00:00:00Z,45,43,NO NATURAL DISASTER
2015-08-02T00:00:00Z,38,41.5,NO NATURAL DISASTER
2015-08-09T00:00:00Z,48,43,NO NATURAL DISASTER
2015-08-16T00:00:00Z,37,42.5,NO NATURAL DISASTER
2015-08-23T00:00:00Z,38,37.5,NO NATURAL DISASTER
2015-08-30T00:00:00Z,35,36.5,NO NATURAL DISASTER
2015-09-06T00:00:00Z,58,46.5,NO NATURAL DISASTER
2015-09-13T00:00:00Z,28,43,NO NATURAL DISASTER
2015-09-20T00:00:00Z,38,33,NO NATURAL DISASTER
2015-09-27T00:00:00Z,50,44,NO NATURAL DISASTER
2015-10-04T00:00:00Z,36,43,NO NATURAL DISASTER
2015-10-11T00:00:00Z,41,38.5,NO NATURAL DISASTER
2015-10-18T00:00:00Z,37,39,NO NATURAL DISASTER
2015-10-25T00:00:00Z,41,39,NO NATURAL DISASTER
2015-11-01T00:00:00Z,44,42.5,NO NATURAL DISASTER
2015-11-08T00:00:00Z,46,45,NO NATURAL DISASTER
2015-11-15T00:00:00Z,38,42,NO NATURAL DISASTER
2015-11-22T00:00:00Z,50,44,NO NATURAL DISASTER
2015-11-29T00:00:00Z,37,43.5,NO NATURAL DISASTER
2015-12-06T00:00:00Z,41,39,NO NATURAL DISASTER
2015-12-13T00:00:00Z,41,41,NO NATURAL DISASTER
2015-12-20T00:00:00Z,54,47.5,NO NATURAL DISASTER
2015-12-27T00:00:00Z,42,48,NO NATURAL DISASTER
2016-01-03T00:00:00Z,43,42.5,NO NATURAL DISASTER
2016-01-10T00:00:00Z,43,43,NO NATURAL DISASTER
2016-01-17T00:00:00Z,38,40.5,NO NATURAL DISASTER
2016-01-24T00:00:00Z,50,44,NO NATURAL DISASTER
2016-01-31T00:00:00Z,49,49.5,NO NATURAL DISASTER
2016-02-07T00:00:00Z,49,49,NO NATURAL DISASTER
2016-02-14T00:00:00Z,37,43,NO NATURAL DISASTER
2016-02-21T00:00:00Z,41,39,NO NATURAL DISASTER
2016-02-28T00:00:00Z,45,43,NO NATURAL DISASTER
2016-03-06T00:00:00Z,39,42,NO NATURAL DISASTER
2016-03-13T00:00:00Z,38,38.5,SEVERE STORMS AND FLOODING MAR 2016
2016-03-20T00:00:00Z,39,38.5,NO NATURAL DISASTER
2016-03-27T00:00:00Z,48,43.5,NO NATURAL DISASTER
2016-04-03T00:00:00Z,41,44.5,NO NATURAL DISASTER
2016-04-10T00:00:00Z,50,45.5,NO NATURAL DISASTER
2016-04-17T00:00:00Z,53,51.5,NO NATURAL DISASTER
2016-04-24T00:00:00Z,34,43.5,NO NATURAL DISASTER
2016-05-01T00:00:00Z,43,38.5,NO NATURAL DISASTER
2016-05-08T00:00:00Z,53,48,NO NATURAL DISASTER
2016-05-15T00:00:00Z,45,49,NO NATURAL DISASTER
2016-05-22T00:00:00Z,41,43,NO NATURAL DISASTER
2016-05-29T00:00:00Z,46,43.5,NO NATURAL DISASTER
2016-06-05T00:00:00Z,52,49,NO NATURAL DISASTER
2016-06-12T00:00:00Z,50,51,NO NATURAL DISASTER
2016-06-19T00:00:00Z,51,50.5,NO NATURAL DISASTER
2016-06-26T00:00:00Z,46,48.5,NO NATURAL DISASTER
2016-07-03T00:00:00Z,66,56,NO NATURAL DISASTER
2016-07-10T00:00:00Z,46,56,NO NATURAL DISASTER
2016-07-17T00:00:00Z,39,42.5,NO NATURAL DISASTER
2016-07-24T00:00:00Z,47,43,NO NATURAL DISASTER
2016-07-31T00:00:00Z,38,42.5,NO NATURAL DISASTER
2016-08-07T00:00:00Z,44,41,NO NATURAL DISASTER
2016-08-14T00:00:00Z,48,46,SEVERE STORMS AND FLOODING AUG 2016
2016-08-21T00:00:00Z,50,49,NO NATURAL DISASTER
2016-08-28T00:00:00Z,50,50,NO NATURAL DISASTER
2016-09-04T00:00:00Z,52,51,NO NATURAL DISASTER
2016-09-11T00:00:00Z,47,49.5,NO NATURAL DISASTER
2016-09-18T00:00:00Z,47,47,NO NATURAL DISASTER
2016-09-25T00:00:00Z,34,40.5,NO NATURAL DISASTER
2016-10-02T00:00:00Z,42,38,NO NATURAL DISASTER
2016-10-09T00:00:00Z,40,41,NO NATURAL DISASTER
2016-10-16T00:00:00Z,39,39.5,NO NATURAL DISASTER
2016-10-23T00:00:00Z,44,41.5,NO NATURAL DISASTER
2016-10-30T00:00:00Z,44,44,NO NATURAL DISASTER
2016-11-06T00:00:00Z,37,40.5,NO NATURAL DISASTER
2016-11-13T00:00:00Z,51,44,NO NATURAL DISASTER
2016-11-20T00:00:00Z,55,53,NO NATURAL DISASTER
2016-11-27T00:00:00Z,38,46.5,NO NATURAL DISASTER
2016-12-04T00:00:00Z,49,43.5,NO NATURAL DISASTER
2016-12-11T00:00:00Z,31,40,NO NATURAL DISASTER
2016-12-18T00:00:00Z,45,38,NO NATURAL DISASTER
2016-12-25T00:00:00Z,51,48,NO NATURAL DISASTER
2017-01-01T00:00:00Z,38,44.5,NO NATURAL DISASTER
2017-01-08T00:00:00Z,33,35.5,NO NATURAL DISASTER
2017-01-15T00:00:00Z,52,42.5,NO NATURAL DISASTER
2017-01-22T00:00:00Z,47,49.5,NO NATURAL DISASTER
2017-01-29T00:00:00Z,43,45,NO NATURAL DISASTER
2017-02-05T00:00:00Z,50,46.5,NO NATURAL DISASTER
2017-02-12T00:00:00Z,61,55.5,NO NATURAL DISASTER
2017-02-19T00:00:00Z,43,52,NO NATURAL DISASTER
2017-02-26T00:00:00Z,59,51,NO NATURAL DISASTER
2017-03-05T00:00:00Z,31,45,NO NATURAL DISASTER
2017-03-12T00:00:00Z,35,33,NO NATURAL DISASTER
2017-03-19T00:00:00Z,45,40,NO NATURAL DISASTER
